year,month,average4inchtempF,average8inchtempF,average4inchtempC,average8inchtempC
2014,1,24.2,25.6,-4.333333333,-3.555555556
2014,2,25.8,26.5,-3.444444444,-3.055555556
2014,3,30.3,30.2,-0.944444444,-1
2014,4,40.5,39.1,4.722222222,3.944444444
2014,5,26.1,54,-3.277777778,12.22222222
2014,6,70.4,68.7,21.33333333,20.38888889
2014,7,73.9,72,23.27777778,22.22222222
2014,8,76.5,75,24.72222222,23.88888889
2014,9,64.7,64.9,18.16666667,18.27777778
2014,10,51.8,54.9,11,12.72222222
2014,11,35.5,42,1.944444444,5.555555556
2014,12,31.4,35.6,-0.333333333,2
2015,1,25.7,27.7,-3.5,-2.388888889
2015,2,20.8,22.1,-6.222222222,-5.5
2015,3,32.4,30.7,0.222222222,-0.722222222
2015,4,46.9,44.9,8.277777778,7.166666667
2015,5,58.9,57.4,14.94444444,14.11111111
2015,6,71.1,68.8,21.72222222,20.44444444
2015,7,77.2,75.1,25.11111111,23.94444444
2015,8,73.6,72.7,23.11111111,22.61111111
2015,9,69,68.5,20.55555556,20.27777778
2015,10,55.6,55.9,13.11111111,13.27777778
2015,11,41.7,43.4,5.388888889,6.333333333
2015,12,33.6,35,0.888888889,1.666666667
2013,1,25.5,27.6,-3.611111111,-2.444444444
2013,2,24.7,25.9,-4.055555556,-3.388888889
2013,3,28.9,29.4,-1.722222222,-1.444444444
2013,4,35.5,33.9,1.944444444,1.055555556
2013,5,54.4,52.9,12.44444444,11.61111111
2013,6,66.6,64.5,19.22222222,18.05555556
2013,7,76.5,74.3,24.72222222,23.5
2013,8,74.8,73,23.77777778,22.77777778
2013,9,70,69.9,21.11111111,21.05555556
2013,10,51.9,53.1,11.05555556,11.72222222
2013,11,37.4,39,3,3.888888889
2013,12,27.3,28.7,-2.611111111,-1.833333333
2012,1,27.6,26.8,-2.444444444,-2.888888889
2012,2,28.4,27.2,-2,-2.666666667
2012,3,,,-17.77777778,-17.77777778
2012,4,50.8,50.5,10.44444444,10.27777778
2012,5,63.8,61.7,17.66666667,16.5
2012,6,72.1,69.9,22.27777778,21.05555556
2012,7,82.1,79.7,27.83333333,26.5
2012,8,76,74.5,24.44444444,23.61111111
2012,9,67.7,67.6,19.83333333,19.77777778
2012,10,52.3,53.7,11.27777778,12.05555556
2012,11,40.4,42.3,4.666666667,5.722222222
2012,12,33.7,35.2,0.944444444,1.777777778
2011,1,31.3,31.2,-0.388888889,-0.444444444
2011,2,31.2,31.1,-0.444444444,-0.5
2011,3,32.4,32.4,0.222222222,0.222222222
2011,4,44.4,43.9,6.888888889,6.611111111
2011,5,55,54.5,12.77777778,12.5
2011,6,69.5,68.5,20.83333333,20.27777778
2011,7,80,79.3,26.66666667,26.27777778
2011,8,78.5,77.3,25.83333333,25.16666667
2011,9,66.1,64.6,18.94444444,18.11111111
2011,10,55.1,54,12.83333333,12.22222222
2011,11,40.6,40,4.777777778,4.444444444
2011,12,31.6,30.9,-0.222222222,-0.611111111
2010,1,31.6,31.9,-0.222222222,-0.055555556
2010,2,32,32,0,0
2010,3,,36,-17.77777778,2.222222222
2010,4,55.9,52.9,13.27777778,11.61111111
2010,5,59.9,58.6,15.5,14.77777778
2010,6,68.7,67.6,20.38888889,19.77777778
2010,7,78.2,76.7,25.66666667,24.83333333
2010,8,78.5,77.5,25.83333333,25.27777778
2010,9,61.9,62,16.61111111,16.66666667
2010,10,55.6,55,13.11111111,12.77777778
2010,11,37.9,38.1,3.277777778,3.388888889
2010,12,30.8,30.7,-0.666666667,-0.722222222
