file,FL1mean,gatedCells,date,plantID,nodAgeDays,nodLet,dilution,note,delete
5Mar15.011,111,3935,3/5/2015,B5.2,23,B,100,,
5Mar15.012,90.1,11369,3/5/2015,B5.2,23,A,100,,
5Mar15.013,566.1,6146,3/5/2015,A3.6,23,D,100,,
5Mar15.014,433.8,8574,3/5/2015,A3.6,23,C,100,,
5Mar15.015,144.7,18,3/5/2015,A3.6,23,B,100,,1
5Mar15.016,332.6,380,3/5/2015,A3.6,23,B,10,,1
5Mar15.017,104.3,1272,3/5/2015,A3.6,23,B,1,,
5Mar15.018,530.2,6060,3/5/2015,A3.6,23,A,100,,
5Mar15.019,466.8,6926,3/5/2015,A3.6,23,E,100,,
5Mar15.020,469,8329,3/5/2015,A3.6,23,F,100,,
5Mar15.021,485.2,5091,3/5/2015,A3.6,23,G,100,,
5Mar15.022,487.7,5319,3/5/2015,A3.6,23,H,100,,
5Mar15.023,483.1,2758,3/5/2015,A3.6,23,I,100,,
5Mar15.024,187.5,6206,3/5/2015,B5.7,23,B,100,,
5Mar15.025,151.9,6222,3/5/2015,B5.7,23,A,100,,
5Mar15.026,12.9,28,3/5/2015,BodipyControl,,,1,,
5Mar15.027,601.8,4329,3/5/2015,A3.9,23,C,100,,
5Mar15.028,504.3,7616,3/5/2015,A3.9,23,B,100,,
5Mar15.029,647.3,4393,3/5/2015,A3.9,23,A,100,,
5Mar15.030,120.1,168,3/5/2015,B5.3,23,A,100,too dilute,1
5Mar15.031,143.4,4072,3/5/2015,B5.3,23,A,10,,
5Mar15.032,40.7,44,3/5/2015,B5.3,23,B,100,too dilute,1
5Mar15.033,29.2,15,3/5/2015,B5.3,23,B,10,too dilute,1
5Mar15.034,91.5,66,3/5/2015,B5.3,23,B,1,,
5Mar15.035,159.1,6427,3/5/2015,B5.3,23,C,100,,
5Mar15.036,128.8,4845,3/5/2015,B5.3,23,D,100,accidentally changed to PBS in last 5 sec.; shouldn't change mean,
5Mar15.037,46.5,7,3/5/2015,B5.3,23,E,100,too dilute,1
5Mar15.038,149.4,2383,3/5/2015,B5.3,23,E,10,,
5Mar15.039,145.5,6027,3/5/2015,B5.3,23,F,100,,
5Mar15.040,110.7,84,3/5/2015,B5.3,23,G,100,too dilute,1
5Mar15.041,114.5,1628,3/5/2015,B5.3,23,G,10,,
5Mar15.042,463.9,8828,3/5/2015,A3.11,23,A,100,,
5Mar15.043,484.6,19978,3/5/2015,A3.11,23,B,100,,
5Mar15.044,427.8,12185,3/5/2015,A3.11,23,C,100,,
5Mar15.045,497.5,7845,3/5/2015,A3.11,23,D,100,,
5Mar15.046,457.1,17241,3/5/2015,A3.11,23,E,100,,
6Mar15.004,76.9,16505,3/6/2015,B5.7,19,B,100,,
6Mar15.005,96.3,11374,3/6/2015,B5.7,19,A,100,,
6Mar15.006,113.9,7905,3/6/2015,B5.7,16,F,100,,
6Mar15.007,131.9,10379,3/6/2015,B5.7,16,E,100,,
6Mar15.008,99.9,4025,3/6/2015,B5.7,16,D,100,,
6Mar15.009,101.6,16232,3/6/2015,B5.7,16,C,100,,
6Mar15.010,112.8,17061,3/6/2015,B5.7,16,B,100,,
6Mar15.011,84.7,13089,3/6/2015,B5.7,16,A,100,,
6Mar15.012,84.6,23599,3/6/2015,B5.7,20,C,100,,
6Mar15.013,119.3,29541,3/6/2015,B5.7,20,B,100,,
6Mar15.014,76.2,30347,3/6/2015,B5.7,20,A,100,,
6Mar15.015,435.1,20953,3/6/2015,A3.6,25,A,100,,
6Mar15.016,398.4,16392,3/6/2015,A3.6,25,B,100,,
6Mar15.017,578.1,24843,3/6/2015,A3.6,25,C,100,,
6Mar15.018,462.6,16000,3/6/2015,A3.6,25,D,100,,
6Mar15.019,422.6,29192,3/6/2015,A3.6,25,E,100,,
6Mar15.020,405.5,14793,3/6/2015,A3.6,25,F,100,,
6Mar15.021,120.7,741,3/6/2015,B5.2,19,A,100,too dilute?,1
6Mar15.022,127.8,237835,3/6/2015,B5.2,19,A,10,,
6Mar15.023,88.3,11171,3/6/2015,B5.2,25,A,100,,
6Mar15.024,146.1,25177,3/6/2015,B5.2,25,B,100,,
6Mar15.025,174.7,27282,3/6/2015,B5.2,27,A,100,,
6Mar15.026,127.9,4701,3/6/2015,B5.2,28,A,100,,
6Mar15.027,94.8,18293,3/6/2015,B5.2,30,A,100,,
6Mar15.028,71.3,1390,3/6/2015,B5.2,30,B,100,,
6Mar15.029,94.7,224247,3/6/2015,B5.2,30,B,10,too strong,1
6Mar15.030,63.6,1061,3/6/2015,B5.2,30,C,100,,
6Mar15.031,81.5,218343,3/6/2015,B5.2,30,C,10,too strong,1
6Mar15.032,465.2,14316,3/6/2015,A3.11,21,A,100,,
6Mar15.033,452.6,21712,3/6/2015,A3.11,21,B,100,,
6Mar15.034,410.5,29040,3/6/2015,A3.11,21,C,100,,
6Mar15.035,478.8,12810,3/6/2015,A3.11,19,A,100,,
6Mar15.037,170,341,3/6/2015,B5.3,26,A,100,,
6Mar15.038,151.4,303,3/6/2015,B5.3,26,B,100,,
6Mar15.039,169.7,30769,3/6/2015,B5.3,29,A,100,,
6Mar15.040,155.1,17158,3/6/2015,B5.3,29,B,100,,
6Mar15.041,130,338,3/6/2015,B5.3,25,A,100,too dilute?,1
6Mar15.042,140.2,176825,3/6/2015,B5.3,25,A,10,,
6Mar15.043,418.8,17537,3/6/2015,A3.9,20,A,100,,
6Mar15.044,292.9,69,3/6/2015,A3.9,20,B,100,too dilute,1
6Mar15.045,420.7,1401,3/6/2015,A3.9,20,B,10,,
6Mar15.046,429.9,30959,3/6/2015,A3.9,21,A,100,,
6Mar15.047,453.3,29241,3/6/2015,A3.9,21,B,100,,
6Mar15.048,460.2,22893,3/6/2015,A3.9,21,C,100,,
6Mar15.049,402.2,20892,3/6/2015,A3.9,21,D,100,,
6Mar15.050,582.8,40633,3/6/2015,A3.9,25,A,100,,
